name	run	timing
benchmark/ssb/benchmarks/sf10/q1.3-t8.benchmark	2	0.033731
benchmark/ssb/benchmarks/sf10/q1.3-t8.benchmark	3	0.033621
benchmark/ssb/benchmarks/sf10/q1.3-t8.benchmark	4	0.033470
benchmark/ssb/benchmarks/sf10/q1.3-t8.benchmark	5	0.034245
benchmark/ssb/benchmarks/sf10/q2.1-t1.benchmark	1	0.523164
benchmark/ssb/benchmarks/sf10/q2.1-t1.benchmark	2	0.525323
benchmark/ssb/benchmarks/sf10/q2.1-t1.benchmark	3	0.517793
benchmark/ssb/benchmarks/sf10/q2.1-t1.benchmark	4	0.514218
benchmark/ssb/benchmarks/sf10/q2.1-t1.benchmark	5	0.518767
benchmark/ssb/benchmarks/sf10/q2.1-t4.benchmark	1	0.148019
benchmark/ssb/benchmarks/sf10/q2.1-t4.benchmark	2	0.150848
benchmark/ssb/benchmarks/sf10/q2.1-t4.benchmark	3	0.148211
benchmark/ssb/benchmarks/sf10/q2.1-t4.benchmark	4	0.149864
benchmark/ssb/benchmarks/sf10/q2.1-t4.benchmark	5	0.148877
benchmark/ssb/benchmarks/sf10/q2.1-t8.benchmark	1	0.094300
benchmark/ssb/benchmarks/sf10/q2.1-t8.benchmark	2	0.094042
benchmark/ssb/benchmarks/sf10/q2.1-t8.benchmark	3	0.095797
benchmark/ssb/benchmarks/sf10/q2.1-t8.benchmark	4	0.094585
benchmark/ssb/benchmarks/sf10/q2.1-t8.benchmark	5	0.094917
benchmark/ssb/benchmarks/sf10/q2.2-t1.benchmark	1	0.565847
benchmark/ssb/benchmarks/sf10/q2.2-t1.benchmark	2	0.567962
benchmark/ssb/benchmarks/sf10/q2.2-t1.benchmark	3	0.579012
benchmark/ssb/benchmarks/sf10/q2.2-t1.benchmark	4	0.567966
benchmark/ssb/benchmarks/sf10/q2.2-t1.benchmark	5	0.571184
benchmark/ssb/benchmarks/sf10/q2.2-t4.benchmark	1	0.160733
benchmark/ssb/benchmarks/sf10/q2.2-t4.benchmark	2	0.161006
benchmark/ssb/benchmarks/sf10/q2.2-t4.benchmark	3	0.161478
benchmark/ssb/benchmarks/sf10/q2.2-t4.benchmark	4	0.160148
benchmark/ssb/benchmarks/sf10/q2.2-t4.benchmark	5	0.160732
benchmark/ssb/benchmarks/sf10/q2.2-t8.benchmark	1	0.100382
benchmark/ssb/benchmarks/sf10/q2.2-t8.benchmark	2	0.099338
benchmark/ssb/benchmarks/sf10/q2.2-t8.benchmark	3	0.100171
benchmark/ssb/benchmarks/sf10/q2.2-t8.benchmark	4	0.100003
benchmark/ssb/benchmarks/sf10/q2.2-t8.benchmark	5	0.099026
benchmark/ssb/benchmarks/sf10/q2.3-t1.benchmark	1	0.450180
benchmark/ssb/benchmarks/sf10/q2.3-t1.benchmark	2	0.449831
benchmark/ssb/benchmarks/sf10/q2.3-t1.benchmark	3	0.459092
benchmark/ssb/benchmarks/sf10/q2.3-t1.benchmark	4	0.450152
benchmark/ssb/benchmarks/sf10/q2.3-t1.benchmark	5	0.447990
benchmark/ssb/benchmarks/sf10/q2.3-t4.benchmark	1	0.127672
benchmark/ssb/benchmarks/sf10/q2.3-t4.benchmark	2	0.127961
